type_of_prompt,temperature,word,betweenness
positive,0.1,I,0.4017699326577214
positive,0.1,it,0.1353232870617837
positive,0.1,work,0.033296322396559934
positive,0.1,try,0.03129435178373293
positive,0.1,city,0.029013908648265387
positive,0.1,feel,0.025018744271707048
positive,0.1,find,0.02411740478087313
positive,0.1,we,0.023600763593343604
positive,0.1,start,0.022688937576257093
positive,0.1,know,0.02028311924775875
positive,0.7,I,0.38738717116762056
positive,0.7,it,0.12618316398136
positive,0.7,work,0.03861726985406656
positive,0.7,try,0.031640589457682236
positive,0.7,feel,0.0266257911727186
positive,0.7,know,0.025775847044702257
positive,0.7,start,0.02023041258504847
positive,0.7,city,0.020077523072274273
positive,0.7,we,0.01863425709742285
positive,0.7,london,0.018542191169679367
positive,1.3,I,0.0730336882898977
positive,1.3,find,0.021904487145182838
positive,1.3,it,0.018639561628281048
positive,1.3,end,0.015307449806516587
positive,1.3,meet,0.014822331274399789
positive,1.3,sit,0.014130664756051965
positive,1.3,let,0.011990049490909453
positive,1.3,lead,0.011001236580322109
positive,1.3,work,0.010092521472113465
positive,1.3,light,0.010086766877262638
negative,0.1,I,0.4470868528312348
negative,0.1,it,0.09901071819296801
negative,0.1,feel,0.04391606302730498
negative,0.1,they,0.04117195603380936
negative,0.1,find,0.03636101275581046
negative,0.1,try,0.03287022904004965
negative,0.1,work,0.03020650135890491
negative,0.1,know,0.025433893515075825
negative,0.1,city,0.019666007129320318
negative,0.1,help,0.016794878551294596
negative,0.7,I,0.4261692320836066
negative,0.7,it,0.10881706173096976
negative,0.7,feel,0.052180888878767054
negative,0.7,they,0.035411055394058685
negative,0.7,find,0.03246520641862312
negative,0.7,try,0.02534952585963703
negative,0.7,world,0.022305759150892508
negative,0.7,work,0.022212319696663305
negative,0.7,people,0.021477435681260117
negative,0.7,know,0.01629423792106473
negative,1.3,I,0.07194429922659591
negative,1.3,it,0.013781810009797791
negative,1.3,end,0.013717513578551487
negative,1.3,find,0.01325171188471147
negative,1.3,meet,0.013219788955928412
negative,1.3,leave,0.012815870725070842
negative,1.3,lead,0.011228775057230769
negative,1.3,follow,0.011211846523481514
negative,1.3,we,0.010431107323805906
negative,1.3,feel,0.010265572452267032
