type_of_prompt,temperature,n_oov,oov_words
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,1,['exhilarate']
positive,0.1,0,[]
positive,0.1,1,['exhilarate']
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,1,['overthinke']
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,1,['exhilarate']
positive,0.1,0,[]
positive,0.1,1,['catfishe']
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,1,['hipst']
positive,0.1,1,['overthinke']
positive,0.1,1,['journale']
positive,0.1,0,[]
positive,0.1,1,['knackere']
positive,0.1,1,['flatshare']
positive,0.1,0,[]
positive,0.1,1,['bonker']
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,1,['exhilarate']
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,1,['exhilarate']
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,3,"['overthinke', 'credula', 'postero']"
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,1,['overthinke']
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.1,0,[]
